hive_id,trial_id,colony_strength ,pollen_feed_1_dates,pollen_feed_2_dates,pollen_feed_3_dates,pollen_feed_4_dates,pollen_feed_1,pollen_feed_2,pollen_feed_3,pollen_feed_4,collection_1_date,collection_2_date,collection_3_date,collection_4_date,collection_1_output,collection_2_output,collection_3_output,collection_4_output,time_hours,pollen_input_g,honey_output_g,location,humidity_pct,temperature_c
LAO BRO 21.3.2,21.3.2,115000,"20-10-2025
21-10-2025","23-10-2025
24-10-2025","27-10-2025
28-10-2025","31-10-2025
01-11-2025",600,600,600,600,22-10-2025,24-10-2025,28-10-2025,31-10-2025,"390,000","600,000","375,000","295,000",48,"2,400","1,660,000",16C,75,27
TML BRO 16.2.1,16.2.1,106000,"20-10-2025
21-10-2025","23-10-2025
24-10-2025","27-10-2025
28-10-2025","31-10-2025
01-11-2025",600,600,600,600,22-10-2025,24-10-2025,28-10-2025,31-10-2025,"785,000","690,000","460,000","590,000",48,"2,400","2,525,000",20A,75,27
TML BRO 16.2.2,16.2.2,106000,"20-10-2025
21-10-2025","23-10-2025
24-10-2025","27-10-2025
28-10-2025","31-10-2025
01-11-2025",600,600,600,600,22-10-2025,24-10-2025,28-10-2025,31-10-2025,"930,000","840,000","460,000","540,000",48,"2,400","2,770,000",20A,75,27
TML BRO 16.2.3,16.2.3,106000,"20-10-2025
21-10-2025","23-10-2025
24-10-2025","27-10-2025
28-10-2025","31-10-2025
01-11-2025",600,600,600,600,22-10-2025,24-10-2025,28-10-2025,31-10-2025,"590,000","605,000","335,000","375,000",48,"2,400","1,905,000",20A,75,27
TML BRO 16.2.4,16.2.4,106000,"20-10-2025
21-10-2025","23-10-2025
24-10-2025","27-10-2025
28-10-2025","31-10-2025
01-11-2025",600,600,600,600,22-10-2025,24-10-2025,28-10-2025,31-10-2025,"580,000","425,000","370,000","445,000",48,"2,400","1,820,000",14D,75,27
TML BRO 16.2.5,16.2.5,106000,"20-10-2025
21-10-2025","23-10-2025
24-10-2025","27-10-2025
28-10-2025","31-10-2025
01-11-2025",600,600,600,600,22-10-2025,24-10-2025,28-10-2025,31-10-2025,"505,000","375,000","338,000","455,000",48,"2,400","1,673,000",18A,75,27
LAO AMP 21.4.1,21.4.1,160000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"317,000","410,000","410,000","286,000",48,"2,400","1,423,000",22C,75,27
LAO AMP 21.4.2,21.4.2,160000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"266,000","252,000","252,000","258,000",48,"2,400","1,028,000",22C,75,27
LAO AMP 21.4.3,21.4.3,160000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"530,000","400,000","366,000","270,000",48,"2,400","1,566,000",22C,75,27
LAO BRO 21.4.1,21.4.1,115000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"590,000","585,000","345,000","415,000",48,"2,400","1,935,000",22C,75,27
LAO BRO 21.4.2,21.4.2,115000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"485,000","540,000","326,000","313,000",48,"2,400","1,664,000",22C,75,27
TML BRO 16.3.1,16.3.1,106000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"475,000","375,000","318,000","310,000",48,"2,400","1,478,000",27A,75,27
TML BRO 16.3.2,16.3.2,106000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"400,000","455,000","192,000","231,000",48,"2,400","1,278,000",27A,75,27
TML BRO 16.3.3,16.3.3,106000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"400,000","475,000","270,000","260,000",48,"2,400","1,405,000",27A,75,27
TML BRO 16.3.4,16.3.4,106000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"400,000","520,000","347,000","315,000",48,"2,400","1,582,000",27B,75,27
TML BRO 16.3.5,16.3.5,106000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"665,000","585,000","330,000","301,000",48,"2,400","1,881,000",27B,75,27
TML BRO 16.3.6,16.3.6,106000,"27-10-2025
28-10-2025","30-10-2025
31-10-2025","03-11-2025
04-10-2025","07-11-2025
08-11-2025",600,600,600,600,29-10-2025,31-10-2025,04-11-2025,07-11-2025,"680,000","630,000","440,000","480,000",48,"2,400","2,230,000",27B,75,27
